,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
222,43,qtls_li_hq,0.4,Connectedness,0.7597084312563007,0.05188970447405918,10005,8988.753125,7907
223,44,qtls_li_hq,0.4,Connectedness,0.7687385746947316,0.05061025520920522,10001,9068.714453125,7943
224,45,qtls_li_hq,0.4,Connectedness,0.7463085444934772,0.054487274163396854,10002,8991.98447265625,7941
225,46,qtls_li_hq,0.5,Connectedness,0.7645222780449208,0.0486711709010814,9949,11415.4482421875,9887
226,47,qtls_li_hq,0.5,Connectedness,0.764234680143472,0.0511913688029523,9971,11270.4244140625,9864
227,48,qtls_li_hq,0.5,Connectedness,0.7548557491860874,0.05127128652239029,10002,11310.97578125,9826
228,49,qtls_li_hq,0.6,Connectedness,0.7585283984194547,0.050090518020352144,7989,13657.2947265625,11844
229,50,qtls_li_hq,0.6,Connectedness,0.77195543562296,0.04969220461572222,8022,13488.7712890625,11813
230,51,qtls_li_hq,0.6,Connectedness,0.7652184392724003,0.05091718955306604,8030,13495.0744140625,11807
231,52,qtls_li_hq,0.7,Connectedness,0.7621608280800304,0.04985002477160541,5971,15903.4427734375,13863
232,53,qtls_li_hq,0.7,Connectedness,0.7514852662266958,0.05171585051235403,5864,15994.4755859375,13971
233,54,qtls_li_hq,0.7,Connectedness,0.7778443190734545,0.04944817580174141,5918,15954.3375,13917
234,55,qtls_li_hq,0.8,Connectedness,0.7752616765744638,0.05048028362977897,4011,18180.473046875,15824
235,56,qtls_li_hq,0.8,Connectedness,0.7548681119452956,0.051683771284295923,3978,18267.263671875,15856
236,57,qtls_li_hq,0.8,Connectedness,0.7716197847685519,0.049370890419902,3993,18222.043359375,15841
237,58,qtls_li_hq,0.9,Connectedness,0.7675614253176688,0.050719238770224453,2004,20510.97421875,17830
238,59,qtls_li_hq,0.9,Connectedness,0.7501546300001288,0.05129698011688375,1917,20642.47890625,17917
239,60,qtls_li_hq,0.9,Connectedness,0.7665459352862277,0.05128471147824079,2008,20495.348046875,17828
